seed	531802985935182545
construction_seconds	186.433266
path	nodes	max_cut	max_fill	max_step	pins	pin_digest	water_bounds	water_digest
poi_spur_058	287	1	5	1	2	4613ac236008f77aabac555e0a90ad23b114f6809239186cc948d0b2012b5d78	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_059	169	1	22	1	2	6e6f350f1039c0a076180dd8420de0399ea7095552777c57686e719403bd9223	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_060	247	2	0	1	2	bccea7c8eb7bb287952147553cf83488d12c1ad587c6a20e28288eaa481f0d8e	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_061	205	2	1	1	2	d6dab6f4d53a033cb0db83831fda6ac64a940154d0e28475d964c2ca4e5ac79e	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_062	245	2	1	1	2	b790e2850993232ae6247b18db2996fd49d1e929945468a998e944480d86f253	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_063	245	2	1	1	2	819552cef8e3b0d37c53478ba8deaa34eb354420aa292d33cdb5ceb7233f175a	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_064	237	1	0	1	2	9148fbecd9283d4722dc581a228cbecbb00e795d77ba7f11723d00dac971b253	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_065	221	24	0	1	2	eccb3eb891f16720af1d381b8041006deb2966485960e5591f33914615fd8a26	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_066	197	2	0	1	2	6e74878698fd238abedeac7bbb271d029dbb02d1bd82e6c7aeef83114d1890fc	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_067	281	10	20	1	2	526930b329c9f6372b7c7baf066a46a463e9e9de2753b6f54b62ccfec4e15a75	38	65f1da92780c6bb6745527a904741852cc602d8d3815546ac1e38a683fd649f0
poi_spur_068	217	2	9	1	2	0a9983603257bc35d0e40d3abfd4e5585cd79c6448d87a115b6f48cb3957862a	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_069	627	2	8	1	2	4e74fb52d73c7c8754683075bd999b04432b1a30d3d8e864dd9f643b2ca45762	112	c1446a94748e6f6034dfcf110b7d3c22b3aa4b1221d6685c0cb3c3a00ccd4b94
poi_spur_070	265	2	17	1	2	de3caed21bd4a902c786931209a617c988ca16f721fdb376d37b730c62fe6dea	115	4875ffb3e12ec0bf7ddb7a093878471471b0f74e753551207b6fc3a91e19505f
poi_spur_071	405	5	2	1	2	4e4a142aa48c817828b4cdb707157bc009670d9e012e49e0695aaa70b174411f	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_072	381	2	0	1	2	75f77a943b2f93d967250562b1cc9ef0d6b664fbec724bc6ecfb3e66d07b19c4	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_073	397	2	7	1	2	973ef4476615fc656bdc437d53de19938e1aec8ccefe88a34857fc4cec9074a6	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_074	397	2	1	1	2	72681700701bf4a045895629f104a00dd14ae26a34e66703f9d373fceac8d071	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_075	195	2	40	1	2	e2426628d8d8a8ce7c2caeffdbbda21fd3802ebd4d75354528714df68760659c	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_076	201	25	58	1	2	0f183b1eddd7b908af39e394e3100756747e93601351e39c3bd0c258c26c0777	169	075c3cc1d5cfe8ddf4b715c32981090427feeb7a2b19702afe09fe420969443d
poi_spur_077	233	0	0	0	2	c1259cbd24ddf7d51c53349464e3290baea3a5a1cbb8f66e208f8713793307e8	233	25f77ee6bee1a2cf6aa64d7cdb905169cfa97bd6cb776c42ed97212ad72b21d2
poi_spur_078	525	4	2	1	2	69c203aed743ede4f51ff9733ef93386b9213f44362f3d1790774b865c61362e	176	c7ec36461924bc6ce3e3e4eddde843d07aa48e97c32efe16aeb0edd2f4419d8d
poi_spur_079	125	4	1	1	2	856503f96fa52e7ea68105b1c3b43cc5094dbf7c9d814223e25b4ecc835fad88	31	3e0ee683981a3bd404b2a9ae4040352b84579383174d9cd43b74a5f612bdc56f
poi_spur_080	477	4	0	1	2	efbdeeb83fcf014d63b8afc1075e90c1b0bb34e8064f7c5f91362a72888ac180	28	ae2fb0796aab89e7b3b97676a483c84422903aa9c6eed1aa1e528cf5000e16f9
poi_spur_081	501	2	1	1	2	ab6f7a8f8c890a6ec471b21a98bc433758dea2bde6fa8ac7774cd56f8d1db733	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_082	117	1	0	1	2	f71ea9d65b5a3ab6dbc5c9b73d83d69696b18aeb7af50aea256903041d5a9eaa	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_083	533	1	0	1	2	ad48e6d0b18682d473b618911d92cc29585e6f4e7ac8d7599474cf2d391a1306	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_084	169	2	1	1	2	4b7ff15a230aa146456cbc0a027b4704b024d46e8bd03526ccff0b34a00fb52d	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
